date,league,home_team,away_team,result,prob_home,prob_draw,prob_away,prediction,logistic_weight,poisson_weight,boosting_weight,boosting_temperature,avg_home_odds,avg_draw_odds,avg_away_odds,avg_close_home_odds,avg_close_draw_odds,avg_close_away_odds,early_prob_home,early_prob_draw,early_prob_away,close_prob_home,close_prob_draw,close_prob_away
2025-09-28,Bundesliga,Union Berlin,Hamburg,D,0.5723093321028008,0.2424215678525786,0.1852691000446205,H,0.35,0.4,0.2499999999999999,1.0900000000000003,1.97,3.53,3.61,1.97,3.57,3.65,0.47533486763822735,0.26527186664229685,0.2593932657194759,0.47811505876223226,0.2638337999332206,0.25805114130454726
2025-09-28,Serie A,Lecce,Bologna,D,0.2148168224977328,0.2429525272238874,0.5422306502783796,A,0.35,0.4,0.2499999999999999,1.0900000000000003,3.94,3.07,2.06,5.34,3.47,1.71,0.23832170151188553,0.3058591218100421,0.45581917667807237,0.17662502344105804,0.2718091138833573,0.5515658626755847
2025-09-28,Serie A,Pisa,Fiorentina,D,0.284529423513739,0.2514208840904872,0.4640496923957737,A,0.35,0.4,0.2499999999999999,1.0900000000000003,3.31,3.2,2.24,3.47,3.22,2.17,0.2847336977246727,0.29452141858395836,0.42074488369136903,0.2719816898722106,0.29309828070079835,0.43492002942699115
2025-09-28,Ligue 1,Lille,Lyon,A,0.5106795287764346,0.245185206738759,0.2441352644848061,H,0.35,0.4,0.2499999999999999,1.0900000000000003,2.23,3.46,3.05,2.26,3.44,3.04,0.42093632704834005,0.27129711251959493,0.307766560432065,0.41659761616419144,0.2736949455032188,0.3097074383325897
2025-09-28,Premier League,Newcastle,Arsenal,A,0.2636288333123443,0.235333633482493,0.5010375332051625,A,0.35,0.4,0.2499999999999999,1.0900000000000003,3.51,3.32,2.12,3.4,3.26,2.21,0.2693320271842282,0.2847456070532052,0.4459223657625665,0.2792199235735934,0.291210963236263,0.4295691131901436
2025-09-28,Serie A,Roma,Verona,H,0.6888186522632755,0.2048658042950216,0.1063155434417026,H,0.35,0.4,0.2499999999999999,1.0900000000000003,1.42,4.21,8.09,1.41,4.34,8.28,0.6610182649553905,0.22295627939112936,0.11602545565348016,0.6688181889244994,0.21728885861371983,0.1138929524617807
2025-09-28,Ligue 1,Angers,Brest,A,0.2856327858595239,0.2389837691629995,0.4753834449774764,A,0.35,0.4,0.2499999999999999,1.0900000000000003,3.04,3.29,2.31,3.16,3.11,2.37,0.3086391676379453,0.28518634334934756,0.4061744890127072,0.29856,0.30336,0.39808
2025-09-28,La Liga,Barcelona,Sociedad,H,0.7998850511948061,0.1310641120992468,0.0690508367059469,H,0.35,0.4,0.2499999999999999,1.0900000000000003,1.27,5.88,9.61,1.35,5.33,7.7,0.7417625044139402,0.16021060894654832,0.09802688663951137,0.6999820915378252,0.17729377553021838,0.12272413293195636
2025-09-28,Ligue 1,Metz,Le Havre,D,0.3386657183960827,0.2650040979970451,0.396330183606872,A,0.35,0.4,0.2499999999999999,1.0900000000000003,2.6,3.34,2.62,2.56,3.29,2.71,0.36090535658313677,0.28094428955573525,0.3581503538611281,0.3672737159075462,0.28578137164842504,0.3469449124440289
2025-09-28,Serie A,Sassuolo,Udinese,H,0.3684573534576665,0.2697785047183403,0.361764141823993,H,0.35,0.4,0.2499999999999999,1.0900000000000003,2.27,3.25,3.15,2.36,3.13,3.17,0.41337748076961905,0.2887282711837032,0.29789424804667786,0.4002444524225397,0.30178175965405546,0.2979737879234049
2025-09-28,Bundesliga,Freiburg,Hoffenheim,D,0.5830652359124666,0.2229760424872359,0.1939587216002973,H,0.35,0.4,0.2499999999999999,1.0900000000000003,2.19,3.59,3.01,2.29,3.35,3.08,0.42778870858554474,0.2609630283571986,0.3112482630572568,0.41201627620025005,0.2816469470144992,0.30633677678525084
2025-09-29,Premier League,Everton,West Ham,D,0.5713206792763597,0.2344532225192145,0.1942260982044257,H,0.35,0.4,0.2499999999999999,1.0900000000000003,1.72,3.69,4.83,1.65,3.87,5.28,0.5487774462621355,0.255798701238719,0.19542385249914554,0.5750905544719978,0.24519364725550288,0.17971579827249928
2025-09-29,Serie A,Genoa,Lazio,A,0.2884097270843345,0.2640311423084276,0.4475591306072377,A,0.35,0.4,0.2499999999999999,1.0900000000000003,2.97,3.06,2.5,2.88,2.93,2.68,0.31659713945172824,0.3072854588796186,0.3761174016686532,0.327057961114906,0.32147676723922497,0.3514652716458691
2025-09-29,Serie A,Parma,Torino,H,0.3581619286742692,0.2694586945969839,0.3723793767287466,A,0.35,0.4,0.2499999999999999,1.0900000000000003,2.24,3.13,3.35,2.52,2.96,3.05,0.4194082565688161,0.30015159575531886,0.28044014767586506,0.3734714477189614,0.3179554217066834,0.30857313057435504
