date,season,league,home_team,away_team,bet,bet_result,odds,odds_source,model_probability,market_probability,break_even_probability,signal,expected_roi,actual_clv,actual_result,won,stake,profit,signal_label
2023-03-05,2022/23,Ligue 1,Rennes,Marseille,DRAW,D,3.74,Max market,0.274457043481997,0.271413674372848,0.267379679144385,0.0030433691091489856,0.02646934262266898,0.012542228021728885,A,False,10.0,-10.0,STANDARD
2023-03-06,2022/23,La Liga,Osasuna,Celta,DRAW,D,3.28,Max market,0.3168275384114727,0.31312026067542287,0.3048780487804878,0.003707277736049841,0.03919432598963035,-0.00588218677441632,D,True,10.0,22.799999999999997,STANDARD
2023-03-11,2022/23,La Liga,Valencia,Osasuna,DRAW,D,3.38,Max market,0.3019390322575044,0.29882576727512167,0.2958579881656805,0.003113264982382735,0.020553929030364904,0.0002328858747696616,H,False,10.0,-10.0,STANDARD
2023-03-11,2022/23,Serie A,Bologna,Lazio,DRAW,D,3.36,Max market,0.30364502096915313,0.3000784177049752,0.2976190476190476,0.003566603264177959,0.02024727045635455,0.02594287370881454,D,True,10.0,23.599999999999998,STANDARD
2023-03-11,2022/23,La Liga,Elche,Valladolid,DRAW,D,3.46,Max market,0.2945268672099105,0.2909228061352778,0.28901734104046245,0.0036040610746326807,0.01906296054629042,0.0025979591002486813,D,True,10.0,24.6,STANDARD
2023-03-12,2022/23,Serie A,Verona,Monza,DRAW,D,3.34,Max market,0.30659433148664905,0.30268156424581,0.29940119760479045,0.003912767240839055,0.024025067165407865,0.005652968646085776,D,True,10.0,23.4,STANDARD
2023-03-12,2022/23,Ligue 1,Monaco,Reims,DRAW,D,4.0,Max market,0.25296115564860006,0.2501874531367158,0.25,0.002773702511884246,0.011844622594400223,0.0055653140496440545,A,False,10.0,-10.0,STANDARD
2023-03-12,2022/23,La Liga,Ath Bilbao,Barcelona,DRAW,D,3.52,Max market,0.28999786072274414,0.28660438484140743,0.2840909090909091,0.003393475881336705,0.02079246974405935,0.000899369705766373,A,False,10.0,-10.0,STANDARD
2023-03-12,2022/23,La Liga,Mallorca,Sociedad,DRAW,D,3.06,Max market,0.33289817924306714,0.32882881118990653,0.32679738562091504,0.004069368053160605,0.01866842848378547,0.01906840755708611,D,True,10.0,20.6,STANDARD
2023-03-12,2022/23,Serie A,Lecce,Torino,DRAW,D,3.16,Max market,0.32417436927353593,0.3201838221978986,0.3164556962025316,0.003990547075637341,0.02439100690437357,0.018101892087815707,A,False,10.0,-10.0,STANDARD
2023-03-12,2022/23,Premier League,West Ham,Aston Villa,DRAW,D,3.56,Max market,0.2879403736740554,0.2845608425018324,0.2808988764044944,0.003379531172223005,0.025067730279637157,0.00974770829160837,D,True,10.0,25.6,STANDARD
2023-03-17,2022/23,Premier League,Nott'm Forest,Newcastle,Newcastle,A,1.74,Max market,0.5825194942810036,0.5762644225194885,0.5747126436781609,0.006255071761515074,0.013583920048946263,-0.008327336748830905,A,True,10.0,7.4,STRONG
