date,league,home_team,away_team,pick,pick_code,odds,model_probability,market_probability,break_even,signal,betting_edge,expected_roi,actual_clv,actual_result,won,decision,profit,reason
2026-09-05,Premier League,Man City,Coventry,Man City,H,1.18,0.8090241418589632,0.8080038302561217,0.8474576271186441,0.0010203116028415504,-0.03843348525968093,-0.04535151260642345,-0.012812605553209067,H,True,SKIP,0.0,"signal < 0.25%, EV < 1%"
2026-09-05,Premier League,Hull,Aston Villa,DRAW,D,3.6,0.2631878874756817,0.2602623959213644,0.2777777777777778,0.0029254915543173166,-0.014589890302096065,-0.05252360508754572,0.0018410685792670245,D,True,SKIP,0.0,EV < 1%
2026-09-05,Serie A,Roma,Atalanta,Roma,H,1.73,0.5505781498106805,0.5500041844505816,0.5780346820809249,0.0005739653600989048,-0.02745653227024436,-0.0474998008275227,0.014603930263447973,H,True,SKIP,0.0,"signal < 0.25%, EV < 1%"
2026-09-05,Serie A,Fiorentina,Torino,DRAW,D,3.3,0.2901340673508492,0.2862532642977108,0.30303030303030304,0.003880803053138371,-0.01289623567945386,-0.042557577742197816,-0.0029949645320261342,A,False,SKIP,0.0,EV < 1%
2026-09-05,Serie A,Inter,Napoli,DRAW,D,3.6,0.2550878138461177,0.2528675466545289,0.2777777777777778,0.0022202671915887984,-0.022689963931660118,-0.08168387015397638,-0.009246720285566473,H,False,SKIP,0.0,"signal < 0.25%, EV < 1%"
2026-09-06,Bundesliga,Hamburg,Mainz,DRAW,D,3.5,0.2699170065707681,0.2664711274060495,0.2857142857142857,0.0034458791647186127,-0.015797279143517584,-0.0552904770023116,0.005534364880518616,A,False,SKIP,0.0,EV < 1%
2026-09-06,Bundesliga,Ein Frankfurt,Augsburg,Ein Frankfurt,H,1.91,0.4912623348358327,0.4902951361930933,0.5235602094240838,0.0009671986427394197,-0.03229787458825106,-0.06168894046355955,0.024275517926479195,A,False,SKIP,0.0,"signal < 0.25%, EV < 1%"
2026-09-06,La Liga,Malaga,Levante,DRAW,D,3.25,0.2919595531202916,0.2876314624957093,0.3076923076923077,0.0043280906245822814,-0.015732754572016117,-0.051131452359052365,-0.0015681321672286197,D,True,SKIP,0.0,EV < 1%
2026-09-06,La Liga,Alaves,Osasuna,DRAW,D,3.1,0.3129013765698467,0.3077371828141282,0.3225806451612903,0.005164193755718471,-0.009679268591443635,-0.03000573263347528,-0.004909479978559672,H,False,SKIP,0.0,EV < 1%
2026-09-06,La Liga,Espanol,Sevilla,DRAW,D,3.1,0.3044391628941285,0.2998091417850095,0.3225806451612903,0.004630021109118976,-0.018141482267161835,-0.05623859502820172,-0.0015012530290767212,D,True,SKIP,0.0,EV < 1%
2026-09-06,La Liga,Valencia,Barcelona,Barcelona,A,1.29,0.741339019016643,0.736544888786447,0.7751937984496123,0.0047941302301960365,-0.03385477943296933,-0.04367266546853055,0.025433128190090803,A,True,SKIP,0.0,EV < 1%
2026-09-06,Ligue 1,Marseille,Paris FC,Marseille,H,1.75,0.5336980001265398,0.5336062686507645,0.5714285714285714,9.173147577523633e-05,-0.03773057130203161,-0.0660284997785554,-0.030314063065754127,A,False,SKIP,0.0,"signal < 0.25%, EV < 1%"
2026-09-06,Ligue 1,Troyes,Strasbourg,Troyes,H,3.1,0.3118406168210368,0.3106860882758508,0.3225806451612903,0.0011545285451859955,-0.010740028340253505,-0.033294087854785825,0.030198037972104907,A,False,SKIP,0.0,"signal < 0.25%, EV < 1%"
2026-09-06,Ligue 1,Angers,Rennes,Angers,H,4.0,0.2477935385547584,0.2470172008966989,0.25,0.0007763376580595116,-0.0022064614452415865,-0.008825845780966346,-0.03409801625192954,A,False,SKIP,0.0,"signal < 0.25%, EV < 1%"
2026-09-06,Premier League,Everton,Man United,DRAW,D,3.5,0.2681761014908506,0.2650681249853934,0.2857142857142857,0.0031079765054571884,-0.017538184223435116,-0.06138364478202296,-0.0179455792846486,D,True,SKIP,0.0,EV < 1%
2026-09-06,Premier League,Arsenal,Chelsea,DRAW,D,3.75,0.2503163427241869,0.2477146801768651,0.26666666666666666,0.0026016625473218036,-0.01635032394247976,-0.061313714784299145,-0.002432809971093741,H,False,SKIP,0.0,EV < 1%
2026-09-06,Serie A,Parma,Monza,DRAW,D,3.1,0.3091483179193414,0.3044541484716158,0.3225806451612903,0.004694169447725605,-0.013432327241948927,-0.041640214450041624,0.024181534944226812,D,True,SKIP,0.0,EV < 1%
2026-09-06,Serie A,Bologna,Sassuolo,DRAW,D,3.4,0.2791152450064829,0.2755807965849982,0.29411764705882354,0.003534448421484704,-0.015002402052340658,-0.05100816697795818,-0.009899403127174244,D,True,SKIP,0.0,EV < 1%
2026-09-06,Serie A,Frosinone,Venezia,DRAW,D,3.3,0.2837380646791997,0.279742327389476,0.30303030303030304,0.003995737289723689,-0.01929223835110333,-0.06366438655864104,-0.012086007101576757,H,False,SKIP,0.0,EV < 1%
2026-09-06,Serie A,Juventus,Milan,DRAW,D,3.25,0.2916125354770995,0.2873172732408317,0.3076923076923077,0.0042952622362677495,-0.016079772215208232,-0.052259259699426686,0.017432423949802933,D,True,SKIP,0.0,EV < 1%
2026-09-07,La Liga,Getafe,Celta,DRAW,D,2.9,0.332355272200998,0.3264114642075234,0.3448275862068966,0.005943807993474548,-0.0124723140058986,-0.036169710617105943,0.024835268147192058,D,True,SKIP,0.0,EV < 1%
2026-09-07,La Liga,Elche,Sociedad,Sociedad,A,2.38,0.4002726845739986,0.3985949012192736,0.42016806722689076,0.0016777833547250154,-0.019895382652892146,-0.04735101071388337,0.01640783621269315,A,True,SKIP,0.0,"signal < 0.25%, EV < 1%"
2026-09-07,Serie A,Cagliari,Lecce,DRAW,D,3.1,0.3015085819701084,0.2972233085647243,0.3225806451612903,0.0042852734053840935,-0.021072063191181933,-0.065323395892664,0.01289634374392884,H,False,SKIP,0.0,EV < 1%
2026-09-07,Serie A,Udinese,Lazio,DRAW,D,3.1,0.3060214343326058,0.301272374379987,0.3225806451612903,0.004749059952618817,-0.0165592108286845,-0.051333553568922,0.008089260342015236,A,False,SKIP,0.0,EV < 1%
