date,league,home_team,away_team,outcome,predicted_move,actual_move,directional_clv,direction_correct,signal_strength
2026-09-05,Premier League,Hull,Aston Villa,DRAW,0.0029254915543173166,0.0018410685792670245,0.0018410685792670245,True,0.0029254915543173166
2026-09-05,Serie A,Roma,Atalanta,AWAY,-0.0026406794224923813,-0.006687361594200303,0.006687361594200303,True,0.0026406794224923813
2026-09-05,Serie A,Fiorentina,Torino,DRAW,0.003880803053138371,-0.0029949645320261897,-0.0029949645320261897,False,0.003880803053138371
2026-09-05,Serie A,Inter,Napoli,DRAW,0.002220267191588854,-0.009246720285566473,-0.009246720285566473,False,0.002220267191588854
2026-09-06,Bundesliga,Hamburg,Mainz,DRAW,0.003445879164718668,0.005534364880518616,0.005534364880518616,True,0.003445879164718668
2026-09-06,Bundesliga,Ein Frankfurt,Augsburg,AWAY,-0.0029086646390144577,-0.018626221849993296,0.018626221849993296,True,0.0029086646390144577
2026-09-06,La Liga,Malaga,Levante,DRAW,0.004328090624582337,-0.0015681321672286197,-0.0015681321672286197,False,0.004328090624582337
2026-09-06,La Liga,Alaves,Osasuna,DRAW,0.005164193755718471,-0.004909479978559672,-0.004909479978559672,False,0.005164193755718471
2026-09-06,La Liga,Espanol,Sevilla,DRAW,0.00463002110911892,-0.0015012530290767767,-0.0015012530290767767,False,0.00463002110911892
2026-09-06,La Liga,Valencia,Barcelona,AWAY,0.0047941302301960365,0.025433128190090803,0.025433128190090803,True,0.0047941302301960365
2026-09-06,Ligue 1,Marseille,Paris FC,AWAY,-0.002066712979424623,0.02125895699783864,-0.02125895699783864,False,0.002066712979424623
2026-09-06,Ligue 1,Troyes,Strasbourg,AWAY,-0.005616244440474927,-0.026143739408723055,0.026143739408723055,True,0.005616244440474927
2026-09-06,Ligue 1,Angers,Rennes,AWAY,-0.003578970646182733,0.049006666220668516,-0.049006666220668516,False,0.003578970646182733
