date,league,home_team,away_team,prob_home,prob_draw,prob_away,result
2025-02-02,La Liga,Osasuna,Sociedad,0.39581337063833466,0.2571720895993419,0.3470145397623235,H
2025-02-02,Premier League,Brentford,Tottenham,0.4557902642718215,0.2475772065692133,0.2966325291589652,A
2025-02-02,La Liga,Barcelona,Alaves,0.7672680511633628,0.1609058659130238,0.07182608292361345,H
2025-02-02,Bundesliga,Leverkusen,Hoffenheim,0.8051345044785456,0.14025191432249307,0.05461358119896135,H
2025-02-02,Serie A,Fiorentina,Genoa,0.5679095502899315,0.2526719295300902,0.17941852017997828,H
2025-02-02,Ligue 1,Reims,Nantes,0.5209978000030988,0.2566887152813154,0.22231348471558582,A
2025-02-02,Bundesliga,Ein Frankfurt,Wolfsburg,0.5494189525264902,0.24585412285046698,0.20472692462304282,D
2025-02-02,Premier League,Man United,Crystal Palace,0.4640849120947998,0.2787367714068552,0.2571783164983449,A
2025-02-03,Premier League,Chelsea,West Ham,0.65311736989941,0.19521032289151374,0.15167230720907618,H
2025-02-03,Serie A,Cagliari,Lazio,0.20908178087117057,0.24597601154447457,0.544942207584355,A
2025-02-03,La Liga,Girona,Las Palmas,0.6422627487194424,0.22681218001775133,0.13092507126280617,H
2025-02-06,Serie A,Fiorentina,Inter,0.18714770306557413,0.21448956371184913,0.5983627332225768,H
2025-02-07,Ligue 1,Paris SG,Monaco,0.6712203629444026,0.18164966093209783,0.14712997612349954,H
2025-02-07,Ligue 1,Nantes,Brest,0.35726778179456475,0.2605679721711824,0.3821642460342529,A
2025-02-07,Bundesliga,Bayern Munich,Werder Bremen,0.7604690467812546,0.1627914721592484,0.07673948105949692,H
2025-02-07,La Liga,Vallecano,Valladolid,0.6350761963718025,0.23073304818544693,0.13419075544275075,H
2025-02-07,Serie A,Como,Juventus,0.18779026853054953,0.22145590923727715,0.5907538222321733,A
2025-02-08,Serie A,Empoli,Milan,0.1976180115210459,0.2304977392381288,0.5718842492408253,A
2025-02-08,La Liga,Real Madrid,Ath Madrid,0.5845787305787421,0.21486462968194275,0.2005566397393151,D
2025-02-08,Ligue 1,St Etienne,Rennes,0.3297177225716122,0.26894792316661714,0.4013343542617706,A
2025-02-08,La Liga,Ath Bilbao,Girona,0.5077468809285851,0.25914368103892416,0.23310943803249073,H
2025-02-08,Ligue 1,Nice,Lens,0.4752125813089674,0.25557076954658087,0.26921664914445187,H
2025-02-08,La Liga,Las Palmas,Villarreal,0.16281047660414977,0.25083272458576933,0.5863567988100808,A
2025-02-08,Serie A,Verona,Atalanta,0.15834472400504876,0.21918834953932997,0.6224669264556212,A
2025-02-08,Ligue 1,Lille,Le Havre,0.7482075027027273,0.17491171026391428,0.07688078703335839,A
2025-02-08,Bundesliga,M'gladbach,Ein Frankfurt,0.307074153934093,0.2818414640358748,0.4110843820300323,D
2025-02-08,Bundesliga,Wolfsburg,Leverkusen,0.18924539766711596,0.20754741298167811,0.603207189351206,D
2025-02-08,Bundesliga,Mainz,Augsburg,0.5065885097913936,0.27425788376971205,0.2191536064388944,D
2025-02-08,La Liga,Celta,Betis,0.35021138708100735,0.2622017891266665,0.3875868237923262,H
2025-02-08,Bundesliga,Hoffenheim,Union Berlin,0.4687944477907408,0.27684503080327316,0.25436052140598603,A
2025-02-08,Serie A,Torino,Genoa,0.5095494610841992,0.2608808194104518,0.22956971950534893,D
2025-02-08,Bundesliga,Dortmund,Stuttgart,0.4589796115784019,0.2571336299393527,0.2838867584822455,A
2025-02-08,Bundesliga,Freiburg,Heidenheim,0.5280677000048586,0.275358957660772,0.19657334233436938,H
2025-02-09,Ligue 1,Auxerre,Toulouse,0.3597268811271038,0.28350757398824855,0.3567655448846476,D
2025-02-09,La Liga,Sevilla,Barcelona,0.1603459771148218,0.21457439089545594,0.6250796319897224,A
2025-02-09,Serie A,Lazio,Monza,0.7121522837296748,0.19234660195401027,0.09550111431631493,H
2025-02-09,Ligue 1,Strasbourg,Montpellier,0.5419356820439334,0.2600667140139357,0.1979976039421309,H
2025-02-09,Ligue 1,Angers,Marseille,0.17288680005940363,0.23284450934814324,0.5942686905924531,A
2025-02-09,Serie A,Venezia,Roma,0.1934646769297883,0.24523250983759218,0.5613028132326194,A
2025-02-09,Serie A,Cagliari,Parma,0.5243318559094444,0.27482493022648047,0.2008432138640752,H
2025-02-09,Serie A,Napoli,Udinese,0.7293541432185378,0.1824808707202611,0.08816498606120114,D
2025-02-09,Ligue 1,Lyon,Reims,0.5874926486523853,0.22216203730256665,0.19034531404504815,H
2025-02-09,La Liga,Valencia,Leganes,0.4035931184261208,0.3046841846014985,0.2917226969723807,H
2025-02-09,Bundesliga,Holstein Kiel,Bochum,0.5230723426315426,0.2653537941669699,0.21157386320148758,D
2025-02-09,Serie A,Lecce,Bologna,0.19094893755192824,0.2507807339582066,0.5582703284898651,D
2025-02-09,La Liga,Alaves,Getafe,0.4053159618965975,0.2960688202163978,0.29861521788700457,A
2025-02-09,Bundesliga,RB Leipzig,St Pauli,0.64889396760784,0.2255710044793625,0.12553502791279755,H
2025-02-09,La Liga,Sociedad,Espanol,0.5351020237364682,0.27599936928131347,0.18889860698221833,H
2025-02-10,La Liga,Mallorca,Osasuna,0.3732079475460988,0.2967205016683165,0.3300715507855847,D
2025-02-10,Serie A,Inter,Fiorentina,0.6612891665255188,0.19629863724719945,0.14241219622728174,H
2025-02-12,Premier League,Everton,Liverpool,0.13520194598492005,0.19426728114610736,0.6705307728689726,D
2025-02-14,Premier League,Brighton,Chelsea,0.3192885378134022,0.26395602150684944,0.4167554406797484,H
2025-02-14,Ligue 1,Brest,Auxerre,0.5780558683944681,0.2541912896974564,0.16775284190807546,D
2025-02-14,Serie A,Bologna,Torino,0.554246947088951,0.24567901140235535,0.2000740415086937,H
2025-02-14,Bundesliga,Augsburg,RB Leipzig,0.23493001247974066,0.24522910281404195,0.5198408847062174,D
2025-02-14,La Liga,Girona,Getafe,0.5044694967825345,0.2896863846673407,0.20584411855012483,A
2025-02-15,Serie A,Atalanta,Cagliari,0.7439701012856398,0.1761205925998581,0.07990930611450198,D
2025-02-15,Premier League,Leicester,Arsenal,0.07214871244303236,0.16511468634808338,0.7627366012088843,A
2025-02-15,Premier League,Man City,Newcastle,0.6778725741925529,0.18582489255953874,0.13630253324790845,H
2025-02-15,Bundesliga,St Pauli,Freiburg,0.4068860133395371,0.25389045356567785,0.339223533094785,A
2025-02-15,La Liga,Villarreal,Valencia,0.7016031541878435,0.19284277650064544,0.10555406931151097,D
2025-02-15,Premier League,Aston Villa,Ipswich,0.7042322521653835,0.18686942000702303,0.10889832782759347,D
2025-02-15,Serie A,Lazio,Napoli,0.40738495301156724,0.2351413010103567,0.357473745978076,D
2025-02-15,Ligue 1,Toulouse,Paris SG,0.11589929675337189,0.16955390787569746,0.7145467953709306,A
2025-02-15,Premier League,Fulham,Nott'm Forest,0.38720976093497683,0.26561521718791087,0.3471750218771122,H
2025-02-15,La Liga,Ath Madrid,Celta,0.7089591134148219,0.18979434742006993,0.10124653916510833,D
2025-02-15,Ligue 1,Marseille,St Etienne,0.7184093339619733,0.19370657301764257,0.08788409302038418,H
